NAME;DESC;TIER
Fast Adaptation;1
Crippling Strikes;1
Colossus;1
Nine Lives;1
Bags and Belts;1
Pathfinder;1
Adrenaline;1
Recover;1
Student;1
Executioner;2
Bullseye;2
Dodge;2
Fortified Mind;2
Resilient;2
Steel Brow;2
Quick Hands;2
Gifted;2
Backstabber;3
Anticipation;3
Shield Expert;3
Brawny;3
Relentless;3
Rotation;3
Rally the Troops;3
Taunt;3
Mace Mastery;4
Flail Mastery;4
Hammer Mastery;4
Axe Mastery;4
Cleaver Mastery;4
Sword Mastery;4
Dagger Mastery;4
Polearm Mastery;4
Spear Mastery;4
Crossbow Mastery;4
Bow Mastery;4
Throwing Mastery;4
Reach Advantage;5
Overwhelm;5
Lone Wolf;5
Footwork;5
Underdog;5
Berserk;6
Head Hunter;6
Nimble;6
Battle Forged;6
Fearsome;7
Duelist;7
Killing Frenzy;7
Indomitable;7
